SystemCode,SystemName,Category,Description,UniclassSsCode,CIBSECode,Discipline,StingSysCode,StingFuncCode,ComponentTypes,DesignCapacity,Redundancy
HVAC-SUP,Supply Air System,HVAC,Primary supply air distribution,Ss_55_30_36,CIBSE-HV01,M,HVAC,SUP,"AHU,Ductwork,VAV,Diffuser,Filter,Damper",Varies per zone,N+1 AHU
HVAC-EXT,Extract Air System,HVAC,General extract air system,Ss_55_30_27,CIBSE-HV02,M,HVAC,EXT,"Extract Fan,Ductwork,Grille,Filter,Damper",Varies per zone,Duty/Standby
HVAC-FRS,Fresh Air System,HVAC,Outdoor air intake and treatment,Ss_55_30_36,CIBSE-HV03,M,HVAC,SUP,"AHU Intake,Filter,Heating Coil,Damper",Varies,None
HVAC-SMK,Smoke Extract,HVAC,Smoke ventilation and pressurisation,Ss_55_30_70,CIBSE-HV04,M,HVAC,EXT,"Smoke Fan,Fire Damper,Smoke Damper,AOV",BS 9999 calc,Duty/Standby
LTHW,Low Temperature Hot Water,Heating,LTHW heating circuit,Ss_55_30_10,CIBSE-HT01,M,HVAC,HTG,"Boiler,Pump,Pipework,Valve,Expansion Vessel",Peak heat load,N+1 Boiler
MTHW,Medium Temperature Hot Water,Heating,MTHW primary heating circuit,Ss_55_30_10,CIBSE-HT02,M,HVAC,HTG,"Boiler,Pump,Pipework,Plate HX,Pressurisation",Peak heat load,Duty/Standby
CHW,Chilled Water,Cooling,Chilled water cooling circuit,Ss_55_30_15,CIBSE-CL01,M,HVAC,CLG,"Chiller,Pump,Pipework,Buffer Vessel,Valve",Peak cooling load,N+1 Chiller
CW,Condenser Water,Cooling,Condenser water rejection circuit,Ss_55_30_15,CIBSE-CL02,M,HVAC,CLG,"Cooling Tower,Pump,Pipework,Valve,Chemical Dosing",Chiller rejection,Duty/Standby
VRF,Variable Refrigerant Flow,HVAC,VRF/VRV heat pump system,Ss_55_30_93,CIBSE-HV05,M,HVAC,SUP,"Outdoor Unit,Indoor Unit,Refrigerant Pipe,Controller",Zone loads,Varied
DCW,Domestic Cold Water,Plumbing,Mains-fed cold water storage and distribution,Ss_55_70_21,CIBSE-PH01,P,DCW,DCW,"Break Tank,Booster Set,Pipework,Valve,RPZ",Demand calc,Duty/Assist/Standby
DHW,Domestic Hot Water,Plumbing,Hot water generation and distribution,Ss_55_40_25,CIBSE-PH02,P,DHW,DHW,"Calorifier,Pump,Pipework,TMV,Expansion Vessel",Storage + recovery,Duty/Standby
SAN-SW,Soil and Waste,Drainage,Above ground soil and waste drainage,Ss_55_70_80,CIBSE-PH03,P,SAN,SAN,"Soil Stack,Waste Pipe,Trap,AAV,Rodding Point",Discharge units,None
SAN-RW,Rainwater,Drainage,Rainwater collection and disposal,Ss_55_70_65,CIBSE-PH04,P,RWD,RWD,"Gutter,Downpipe,Carrier Pipe,Attenuation Tank",Rainfall intensity,Gravity
GAS,Natural Gas,Gas,Natural gas supply and distribution,Ss_55_70_33,CIBSE-GS01,M,GAS,GAS,"Meter,Pipework,ECV,Solenoid Valve,Regulator",Total connected load,None
