# STING CSI MasterFormat map (Phase 192 C2). Resolves a Revit element to a CSI
# MasterFormat section + title for SpecLink reconciliation. Columns:
#   Category    Revit category name (exact, case-insensitive). "*" = any.
#   FamilyRegex optional regex tested against the family name (case-insensitive).
#               ONLY USABLE ON LOADABLE-FAMILY CATEGORIES. ParameterHelpers.GetFamilyName
#               returns "" for anything that is not a FamilyInstance, and Score treats an
#               empty candidate as no-match — so a FamilyRegex on a SYSTEM category (Walls,
#               Floors, Roofs, Ceilings, Pipes, Ducts, Conduits, Cable Trays, Stairs,
#               Railings, Ramps, Topography, Toposolid, Pads) can NEVER fire. Put those
#               discriminators in TypeRegex instead. Mixed categories exist: Structural
#               Foundations isolated footings are FamilyInstance, wall footings are not.
#   TypeRegex   optional regex tested against the type/symbol name. Safe on every category —
#               CsiMap.TypeName falls back to the element type's name for system elements.
#   Sys         optional SYS token (ASS_SYSTEM_TYPE_TXT) exact match.
#   Section     CSI MasterFormat number (e.g. 23 31 00).
#   Title       CSI section title.
# Most-specific row wins (more matched qualifiers = higher score; ties: first).
# Starter baseline — codes are common approximations to be confirmed against the
# project's RIB SpecLink spec. Projects extend/override via _BIM_COORD/csi_map.csv.
# ---------------------------------------------------------------------------
# Nrm2 / Unit (optional 7th + 8th columns)
#
#   Nrm2  the NRM2 work section this row's elements are BILLED under. When set it
#         overrides BOQCostManager.DeriveNrm2Section, which can only key off the
#         Revit CATEGORY - so a SYS-specific row (Pipes+SAN vs Pipes+CHW) bills
#         under the section its specification sits in rather than one bucket for
#         every pipe. Blank = let the category derivation decide.
#   Unit  the section's preferred measurement basis. ADVISORY only: it never
#         re-measures a quantity, it flags a line whose rate is priced per a
#         different basis than the spec measures.
#
#   (col 9)   RESERVED. KUT-10 claims it for a Material qualifier in a sibling change.
#         Leave it EMPTY. Phase was placed at column 10 so the two sets of rows compose
#         under either merge order; putting both at 9 would make one branch's data
#         silently mean the other's.
#
#   Phase  (optional 10th column) the element's STATE WITHIN THE WORKS, matched exactly
#         and case-insensitively. One of:
#             Demolished   removed by the works                -> Division 02
#             Temporary    built AND removed by the works      -> not classified here
#             Existing     present before, not removed         -> not classified here
#             New          built and still standing            -> the ordinary rules
#         Derived from Phase Created / Phase Demolished by CsiMap.PhaseState. An element
#         that is not phase-aware (a grid, a level) carries the empty string and can
#         therefore never satisfy a phase-qualified rule.
#
#         A MATCHED Phase SCORES 10 (CsiRule.PhaseWeight) - more than every other
#         qualifier combined. That is deliberate, and it is what MasterFormat says:
#         Division 02 Existing Conditions classifies by the STATE OF THE WORK, not by
#         what the thing is. A demolished precast beam is demolition; the contractor is
#         removing it, not casting it. With a lower weight the Division 02 rule would
#         fire only on elements no other rule matched - coverage in a review, nothing on
#         a real model, which is exactly why the first pass's naming-keyed rows were
#         withdrawn.
#
#         EXISTING AND TEMPORARY ARE DELIBERATELY NOT CLASSIFIED. Existing-to-remain is
#         not work and a rule would assert a bill item for something nobody is being
#         paid to touch; temporary works are Division 01 / NRM2 preliminaries and
#         pricing them is a quantity surveyor's judgement, not this file's. Both STATES
#         are now available to match on, so a project can add its own rule.
#
# The bridge resolves from the MATCHED RULE first. Section 03 30 00 is NRM2 5 for
# a concrete floor and 14 for a concrete wall; a section-keyed lookup has to pick
# one and would bill every slab, column and foundation under masonry.
#
# The division 31/32/33 site, civil and external-utility rows carry the mapping
# implied by their division and this file's existing convention. They are worth a
# QS's eye before a site-works tender - they are data, and changing one is a
# one-line edit here.
#
# Do not hand-edit those 36 rows to "fix" a code. There is a round trip for it:
#     python tools/qs_nrm2_review.py --export    -> docs/qs_review/
#     ... a QS fills QS_VERDICT / QS_NRM2 ...
#     python tools/qs_nrm2_review.py --apply
# which refuses a code that appears nowhere else in this file, refuses a stale
# sheet, and records the reviewer's note beside the answer. See ROADMAP LIFE-2.
# ---------------------------------------------------------------------------
Category,FamilyRegex,TypeRegex,Sys,Section,Title,Nrm2,Unit
Doors,,,,08 11 00,Metal Doors and Frames,20,each
Doors,(?i)wood,,,08 14 00,Wood Doors and Frames,20,
Doors,(?i)glass|alum|storefront,,,08 41 00,Entrances and Storefronts,20,
Doors,(?i)overhead|coiling|roller,,,08 33 00,Coiling Doors and Grilles,20,
Windows,,,,08 50 00,Windows,20,
Curtain Panels,,,,08 44 00,Curtain Wall and Glazed Assemblies,17,
Curtain Wall Mullions,,,,08 44 00,Curtain Wall and Glazed Assemblies,17,
Walls,,,,09 29 00,Gypsum Board,14,
# Walls/Floors/Roofs/Ceilings/Pipes/Ducts/Conduits/Stairs/Railings/Toposolids are
# SYSTEM elements: they have no family, so their discriminators must sit in the
# TypeRegex column (3rd), not FamilyRegex (2nd). These two rows were on
# FamilyRegex and had never fired — see CsiMap.TypeName in CsiCommands.cs.
Walls,,(?i)masonry|block|brick,,04 20 00,Unit Masonry,14,
Walls,,(?i)concrete,,03 30 00,Cast-in-Place Concrete,14,
Floors,,,,09 60 00,Flooring,5,
Ceilings,,,,09 51 00,Acoustical Ceilings,19,
Roofs,,,,07 50 00,Membrane Roofing,17,
Specialty Equipment,,,,10 00 00,Specialties,22,
Specialty Equipment,(?i)sign,,,10 14 00,Signage,22,
Specialty Equipment,(?i)toilet|cubicle|partition,,,10 21 13,Toilet Compartments,22,
Specialty Equipment,(?i)locker,,,10 51 00,Lockers,22,
Specialty Equipment,(?i)extinguisher,,,10 44 00,Fire Protection Specialties,22,
Specialty Equipment,(?i)bench|pew|seating,,,12 60 00,Multiple Seating,22,
Furniture,,,,12 50 00,Furniture,22,
Furniture Systems,,,,12 50 00,Furniture,22,
Casework,,,,12 32 00,Manufactured Wood Casework,22,
Casework,(?i)custom|millwork|joinery,,,06 40 00,Architectural Woodwork,22,
Sprinklers,,,,21 13 00,Fire-Suppression Sprinkler Systems,36,
Pipes,,,FP,21 11 00,Facility Fire-Suppression Water-Service Piping,36,
Mechanical Equipment,(?i)fire pump,,,21 30 00,Fire Pumps,36,
Plumbing Fixtures,,,,22 40 00,Plumbing Fixtures,32,
Plumbing Fixtures,(?i)water closet|wc|urinal,,,22 42 13,Commercial Water Closets and Urinals,32,
Plumbing Fixtures,(?i)lavatory|basin|sink,,,22 42 16,Commercial Lavatories and Sinks,32,
Pipes,,,DCW,22 11 16,Domestic Water Piping,32,
Pipes,,,DHW,22 11 16,Domestic Water Piping,32,
Pipes,,,HWS,22 11 16,Domestic Water Piping,32,
Pipes,,,SAN,22 13 16,Sanitary Waste and Vent Piping,32,
Pipes,,,RWD,22 14 13,Facility Storm Drainage Piping,32,
Pipes,,,GAS,23 11 23,Facility Natural-Gas Piping,33,
Mechanical Equipment,(?i)water heater|calorifier|cylinder|dhw,,,22 33 00,Electric Domestic Water Heaters,32,
Mechanical Equipment,(?i)booster|pump set,,,22 11 23,Domestic Water Pumps,32,
Ducts,,,,23 31 00,HVAC Ducts and Casings,33,
Duct Fittings,,,,23 31 00,HVAC Ducts and Casings,33,
Flex Ducts,,,,23 31 00,HVAC Ducts and Casings,33,
Duct Accessory,,,,23 33 00,Air Duct Accessories,33,
Air Terminals,,,,23 37 13,Diffusers Registers and Grilles,33,
Pipes,,,CHW,23 21 13,Hydronic Piping,33,
Pipes,,,HHW,23 21 13,Hydronic Piping,33,
Pipes,,,LHW,23 21 13,Hydronic Piping,33,
Pipes,,,CWS,23 21 13,Hydronic Piping,33,
Pipes,,,REFRIG,23 23 00,Refrigerant Piping,33,
Pipe Fittings,,,,23 21 13,Hydronic Piping,33,
Mechanical Equipment,(?i)ahu|air handling,,,23 73 00,Indoor Central-Station Air-Handling Units,33,
Mechanical Equipment,(?i)fcu|fan coil,,,23 82 19,Fan Coil Units,33,
Mechanical Equipment,(?i)vav,,,23 36 00,Air Terminal Units,33,
Mechanical Equipment,(?i)chiller,,,23 64 00,Packaged Water Chillers,33,
