# STING_COMMODITY_RATES.csv v1.0 — corporate baseline commodity price list.
# Project override: <project>/_data/coord/commodity_rates.csv (same columns, wins by CommodityKey).
# Rates are indicative Kampala market prices; a live project MUST re-price before tender.
CommodityKey,SupplierUnit,RateUGX,Description
cement,Bags,28000,Cement OPC 42.5N 50kg bag
sand,Trips (Sino Truck),1400000,River and pit sand per Sino Truck trip
block,No.,2500,Hollow block 8 inch
brick,No.,400,Burnt clay brick
rebar,Kg,3250,High-tensile reinforcement bar
formwork-timber,m²,7000,Sawn timber formwork per square metre contact area
concrete-ready,m³,450000,In-situ concrete supplied and placed
roof-sheet,No.,35000,Corrugated roofing sheet IT4 gauge 28 per sheet
roof-tile,No.,3900,Roof tile (Max pan / clay) per tile
paint-interior,Bkts,280000,Silk / vinyl matt interior paint 20L bucket
paint-exterior,Bkts,200000,Weather-guard exterior paint 20L bucket
# --- site tools (MATSCHED-9). Rates are the PATMAC reference schedule's own
#     figures, Kampala mid-2026. Indicative: re-price before tender.
wheelbarrow,No.,150000,Wheel barrow
spade,No.,15000,Spade
head-pan,No.,7000,Head pan
jerrycan,No.,7000,Jerrycan 20L
hoe,No.,10000,Hoe
pick-axe,No.,20000,Pick axe
hacksaw-frame,No.,20000,Hack saw frame
hacksaw-blade,Bdle,40000,Hack saw blades (bundle)
bow-saw-frame,No.,20000,Bow saw frame
bow-saw-blade,No.,11000,Bow saw blade
panga,No.,10000,Panga
sledge-hammer,No.,100000,Sledge hammer
string-rope,Rolls,10000,Strings and ropes
water-tank,No.,75000,Water tank 200 litre
floor-tile,Boxes,55000,Ceramic floor tile 600x600 box of 4 (1.44 m2)
wall-tile,Boxes,45000,Ceramic wall tile 300x600 box of 8 (1.44 m2)
tile-adhesive,Bags,35000,Cementitious tile adhesive 20kg bag
tile-grout,Bags,25000,Tile grout 5kg bag
skirting,m,15000,Skirting per linear metre (tile / cement / timber, as scheduled)
ceiling-board,Sheets,45000,Gypsum ceiling board 1200x2400x12.5mm per sheet
ceiling-furring,Lengths,12000,Ceiling furring channel / T-grid 3.6 m length
