Ref,Discipline,Originator,Deliverable,Type,Stage,LOD,Format,Suitability,CDE State,Planned Rel Month,Planned Date,Actual Date,Responsible,TIDP Ref,RAG,Notes
Z-000,BIM/Info Mgmt,PLNS,BIM Execution Plan (BEP),Document,Mobilisation,NA,DOCX/PDF,A1,Published,M0,,,Mayanja Davis,TIDP-Z,,Baseline at mobilisation
Z-001,BIM/Info Mgmt,PLNS,Master Information Delivery Plan (MIDP),Document,Mobilisation,NA,XLSX/CSV,A1,Published,M0,,,Mayanja Davis,TIDP-Z,,Aggregated from all TIDPs
Z-002,BIM/Info Mgmt,PLNS,Responsibility matrix (RACI),Document,Mobilisation,NA,XLSX,A1,Published,M0,,,Mayanja Davis,TIDP-Z,,
Z-003,BIM/Info Mgmt,PLNS,Federated coordination model,Model,2.1 BOD,200,NWC/IFC,S1,Shared,M1,,,BIM Coordinator,TIDP-Z,,First federation
A-100,Architecture,FILL,Architectural model,Model,2.1 BOD,200,RVT/IFC,S2,Shared,M1,,,Arch lead,TIDP-A,,Massing + generic
S-100,Structure,FILL,Structural model,Model,2.1 BOD,200,RVT/IFC,S2,Shared,M1,,,Struct lead,TIDP-S,,Generic frame
M-100,Mechanical,FILL,Mechanical (HVAC) model,Model,2.1 BOD,200,RVT/IFC,S2,Shared,M1,,,MEP lead,TIDP-M,,Generic systems
E-100,Electrical,FILL,Electrical model,Model,2.1 BOD,200,RVT/IFC,S2,Shared,M1,,,MEP lead,TIDP-E,,Generic systems
P-100,Public Health,FILL,Plumbing/drainage model,Model,2.1 BOD,200,RVT/IFC,S2,Shared,M1,,,MEP lead,TIDP-P,,Generic systems
Z-110,BIM/Info Mgmt,PLNS,Basis of Design (BOD) report,Document,2.1 BOD,200,DOCX/PDF,S3,Shared,M1,,,Lead AP,TIDP-Z,,Design intent
A-200,Architecture,FILL,Architectural model,Model,2.2 Deliverable B,300,RVT/IFC,S2,Shared,M4,,,Arch lead,TIDP-A,,Developed design
A-201,Architecture,FILL,GA plans/sections/elevations (50%),Drawing,2.2 Deliverable B,300,PDF/DWG,S2,Shared,M4,,,Arch lead,TIDP-A,,
A-202,Architecture,FILL,Door/window schedules,Schedule,2.2 Deliverable B,300,PDF/XLSX,S2,Shared,M4,,,Arch lead,TIDP-A,,
