# v3.0 | 20260301 | BIM Template formulas_with_dependencies
Discipline,Parameter_Name,Data_Type,Revit_Formula,Description,Input_Parameters,Unit,Parameter_GUID,Parameter_Description,Dependency_Level,Uses_Builtin_Geometry,Builtin_Inputs
ARCHITECTURAL,ASS_ROOM_VOLUME_CU_M,VOLUME,ASS_ROOM_AREA_SQ_M * (BLE_CEILING_HEIGHT_MM / 1000),Room volume = area × height,"ASS_ROOM_AREA_SQ_M, BLE_CEILING_HEIGHT_MM",m³,bdc645e1-057b-5dd3-a08f-c6fba2b5118e,Ass Room Volume Cu M [ISO 19650-3:2020],0,False,
ARCHITECTURAL,BLE_CEILING_AREA_SQ_M,AREA,ASS_ROOM_AREA_SQ_M,Ceiling area = room area,ASS_ROOM_AREA_SQ_M,m²,b2d67f62-bb98-5390-89d7-4f5c5cba97a3,Ble Ceiling Area Sq M [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_DOOR_AREA_SQ_M,AREA,BLE_DOOR_WIDTH_MM * BLE_DOOR_HEIGHT_MM / 1000000,Door area from dimensions,"BLE_DOOR_WIDTH_MM, BLE_DOOR_HEIGHT_MM",m²,475fcac1-b6f0-51c5-931c-2633a3aaa35c,Ble Door Area Sq M [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_ELE_AREA_SQ_M,AREA,Width * Height / 1000000,Element area from dimensions (mm→m²),"Width, Height",m²,d31ebc0e-6721-5d60-be6b-5bb5e9bb0f3d,Ble Ele Area Sq M [ISO 19650-1:2018],0,True,"Width, Height"
ARCHITECTURAL,BLE_FINISH_PAINT_AREA_SQ_M,AREA,(BLE_WALL_LENGTH_MM * BLE_WALL_HEIGHT_MM / 1000000) * 0.85,Paintable area (85% of gross wall area),"BLE_WALL_LENGTH_MM, BLE_WALL_HEIGHT_MM",m²,c56be489-ef1a-51b4-a178-4b7b6dd23571,Ble Finish Paint Area Sq M [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_FLR_AREA_SQ_M,AREA,ASS_ROOM_AREA_SQ_M,Floor area = room area,ASS_ROOM_AREA_SQ_M,m²,40b706ca-f0f0-5672-b74c-6b72a83442cc,Ble Flr Area Sq M [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_RAMP_SLOPE_PCT,NUMBER,(BLE_RAMP_HEIGHT_MM / BLE_RAMP_LENGTH_MM) * 100,Ramp slope % = rise/run × 100,"BLE_RAMP_HEIGHT_MM, BLE_RAMP_LENGTH_MM",%,d0e7a861-94a5-5014-b190-7d3d5a58a5b7,Ble Ramp Slope Pct [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_STAIR_PITCH_LINE_MM,NUMBER,(BLE_STAIR_RISE_MM ^ 2 + BLE_STAIR_GOING_MM ^ 2) ^ 0.5,Pitch line length (Pythagoras),"BLE_STAIR_RISE_MM, BLE_STAIR_GOING_MM",mm,6d2c0cf8-58b7-5fc3-aabc-f5a85679f33a,Ble Stair Pitch Line Mm [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_STAIR_RISE_GOING_RATIO_NR,NUMBER,BLE_STAIR_RISE_MM / BLE_STAIR_GOING_MM,Rise:Going ratio — pitch assessment,"BLE_STAIR_RISE_MM, BLE_STAIR_GOING_MM",—,016ba1bd-3f50-5a11-afbc-34f3846cdae6,Ble Stair Rise Going Ratio Nr [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_WALL_THERMAL_TRANSMITTANCE_U_VALUE_W_M_2K_NR,NUMBER,1 / (0.13 + (BLE_WALL_THICKNESS_MM / 1000 / 0.72) + 0.04),Wall U-value: 1/(Rsi + R_wall + Rso),BLE_WALL_THICKNESS_MM,W/m²K,5ee56aa6-f559-578c-9b72-6100c852fda1,Ble Wall Thermal Transmittance U Value W M 2k Nr [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_WINDOW_AREA_SQ_M,AREA,BLE_WINDOW_WIDTH_MM * BLE_WINDOW_HEIGHT_MM / 1000000,Window area from dimensions,"BLE_WINDOW_WIDTH_MM, BLE_WINDOW_HEIGHT_MM",m²,1f6f2db8-edcf-5a55-b15b-2d8fced3d13a,Ble Window Area Sq M [ISO 19650-1:2018],0,False,
CONSTRUCTION,CST_CALC_RIDGE_CAP_M,CURRENCY,CST_S_FRM_BEAM_LENGTH_M * 1.1,Ridge capping with 10% wastage,CST_S_FRM_BEAM_LENGTH_M,m,a9a50bf6-3541-4104-8db5-917c06e1be54,Calculated ridge capping length in meters [ISO 19650-3:2020],0,False,
CONSTRUCTION,CST_S_CON_VOLUME_CU_M,VOLUME,Length * Width * Thickness / 1000000000,Concrete volume (mm→m³),"Length, Width, Thickness",m³,f3301427-87c2-5034-ac6f-9ee284d845de,Cst S Con Volume Cu M [ISO 19650-2:2018],0,True,"Length, Width, Thickness"
CONSTRUCTION,CST_S_FRM_PLYWOOD_SHEETS_NR,NUMBER,(CST_S_FRM_SLAB_AREA_SQ_M + CST_S_FRM_BEAM_AREA_SQ_M) / 2.88 * 1.15,Plywood sheets (2.88m²/sheet + 15% waste),"CST_S_FRM_SLAB_AREA_SQ_M, CST_S_FRM_BEAM_AREA_SQ_M",nr,f6a72f77-4d2c-50c5-bab6-1ea5ac723b52,Cst S Frm Plywood Sheets Nr [ISO 19650-2:2018],0,False,
CONSTRUCTION,CST_S_FRM_PROPS_QUANTITY_NR,NUMBER,CST_S_FRM_SLAB_AREA_SQ_M / 1.5,Props needed (1 per 1.5m² slab area),CST_S_FRM_SLAB_AREA_SQ_M,nr,dec78795-8a4e-5ba2-a97f-90aa55875b12,Cst S Frm Props Quantity Nr [ISO 19650-2:2018],0,False,
CONSTRUCTION,CST_S_FRM_RELEASE_AGENT_L,VOLUME,(CST_S_FRM_SLAB_AREA_SQ_M + CST_S_FRM_BEAM_AREA_SQ_M) / 30,Release agent (30m² per liter),"CST_S_FRM_SLAB_AREA_SQ_M, CST_S_FRM_BEAM_AREA_SQ_M",L,b7135785-67fe-5851-ad79-710211af171a,Cst S Frm Release Agent L [ISO 19650-2:2018],0,False,
CONSTRUCTION,CST_S_FRM_TIMBER_VOLUME_CU_M,VOLUME,(CST_S_FRM_SLAB_AREA_SQ_M + CST_S_FRM_BEAM_AREA_SQ_M + CST_S_FRM_COLUMN_AREA_SQ_M) * 0.025,Formwork timber volume (2.5cm thickness),"CST_S_FRM_SLAB_AREA_SQ_M, CST_S_FRM_BEAM_AREA_SQ_M, CST_S_FRM_COLUMN_AREA_SQ_M",m³,1d605c56-68e8-54b1-b9ce-be971a230589,Cst S Frm Timber Volume Cu M [ISO 19650-2:2018],0,False,
CONSTRUCTION,CST_S_MAS_BRICK_QUANTITY_NR,NUMBER,BLE_WALL_LENGTH_MM * BLE_WALL_HEIGHT_MM / 1000000 * 55 * 1.05,Bricks (55/m² + 5% wastage),"BLE_WALL_LENGTH_MM, BLE_WALL_HEIGHT_MM",nr,5c76af45-3ffe-58aa-be0e-60d4ecaa1725,Cst S Mas Brick Quantity Nr [ISO 19650-2:2018],0,False,
CONSTRUCTION,CST_S_MAS_NET_AREA_SQ_M,AREA,CST_S_MAS_WALL_AREA_SQ_M - CST_S_MAS_OPENING_AREA_SQ_M,Net masonry area (gross minus openings),"CST_S_MAS_WALL_AREA_SQ_M, CST_S_MAS_OPENING_AREA_SQ_M",m²,89de3291-920a-5dd2-abd6-acbc3d6f9e1e,Cst S Mas Net Area Sq M [ISO 19650-2:2018],0,False,
CONSTRUCTION,CST_S_REI_WEIGHT_KG,NUMBER,CST_S_REI_LENGTH_M * CST_S_REI_UNIT_WT_KG * 1.05,Rebar weight + 5% wastage,"CST_S_REI_LENGTH_M, CST_S_REI_UNIT_WT_KG",kg,dca82f18-af10-5a55-a9b9-f1628b0cd9e7,Cst S Rei Weight Kg [ISO 19650-2:2018],0,False,
COSTING,ASS_CST_LIFECYCLE_UGX_NR,CURRENCY,ASS_CST_INSTALL_UGX_NR + (ASS_CST_ANNUAL_MAINTENANCE_UGX_NR * ASS_EXPECTED_LIFE_YEARS_YRS),Lifecycle cost = install + (annual maint × years),"ASS_CST_INSTALL_UGX_NR, ASS_CST_ANNUAL_MAINTENANCE_UGX_NR, ASS_EXPECTED_LIFE_YEARS_YRS",UGX,b0853b7d-8b73-5234-a97f-9a33120b432b,Ass Cst Lifecycle Ugx Nr [ISO 19650-3:2020],0,False,
COSTING,ASS_CST_TOTAL_UGX_NR,CURRENCY,ASS_CST_UNIT_PRICE_UGX_NR * ASS_CST_QUANTITY_NR,Total cost = unit price × quantity,"ASS_CST_UNIT_PRICE_UGX_NR, ASS_CST_QUANTITY_NR",UGX,32347c5d-1605-50ab-9c8c-5dc36c0c1765,Ass Cst Total Ugx Nr [ISO 19650-3:2020],0,False,
COSTING,ASS_PMT_CST_TOTAL_CST_UGX_NR,CURRENCY,ASS_PMT_CST_LABOUR_CST_UGX_NR + ASS_PMT_CST_MAT_CST_UGX_NR,Total = labour + material cost,"ASS_PMT_CST_LABOUR_CST_UGX_NR, ASS_PMT_CST_MAT_CST_UGX_NR",UGX,ee737637-24a5-5a56-887c-4cff9ae1f9ea,Ass Pmt Cst Total Cst Ugx Nr [ISO 19650-3:2020],0,False,
ELECTRICAL,ELC_CKT_CUR_A,ELECTRICAL_CURRENT,ELC_CKT_PWR_KW * 1000 / (ELC_CKT_VLT_V * 1.732 * 0.85),3-phase: I = P×1000 / (V×√3×PF),"ELC_CKT_PWR_KW, ELC_CKT_VLT_V",A,35d7f2c9-39b3-5cf3-867b-020dd1edb24d,Elc Ckt Cur A [ISO 19650-1:2018],0,False,
ELECTRICAL,ELC_DIV_FCT_NR,NUMBER,"if(ELC_PNL_NUM_OF_WAYS_NR <= 10, 1.0, if(ELC_PNL_NUM_OF_WAYS_NR <= 20, 0.8, 0.7))",Diversity factor by circuit count,ELC_PNL_NUM_OF_WAYS_NR,—,f7aed743-08cc-5147-ae86-f7049c7b7f39,Elc Div Fct Nr [ISO 19650-1:2018],0,False,
ELECTRICAL,ELC_ENERGY_KWH_PA,NUMBER,ELC_CKT_PWR_KW * 8760 * 0.75,Annual energy (kW × hrs × load factor),ELC_CKT_PWR_KW,kWh/yr,73afac01-e2d8-5bd9-a934-6b25d894c67f,Elc Energy Kwh Pa [ISO 19650-1:2018],0,False,
ELECTRICAL,ELC_LP_EARTH_RES_OHMS,NUMBER,"if(ELC_LP_SOIL_RESIST_OHM_M < 50, 10, if(ELC_LP_SOIL_RESIST_OHM_M < 100, 15, 25))",Earth electrode resistance by soil resistivity,ELC_LP_SOIL_RESIST_OHM_M,Ω,ce2fc22d-99f9-58c1-91f6-26bebf223b4e,Elc Lp Earth Res Ohms [ISO 19650-1:2018],0,False,
ELECTRICAL,ELE_FIX_TAG_1_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_TAG_1_TXT",Tag concatenation: ASS_ID_TXT + ASS_TAG_1_TXT,"ASS_ID_TXT, ASS_TAG_1_TXT",,5b5c4c6c-c420-4f30-a67e-bdeca6944577,Elc fix tag 1,0,False,
ELECTRICAL,ELE_FIX_TAG_2_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_LOC_TXT",Tag concatenation: ASS_ID_TXT + ASS_LOC_TXT,"ASS_ID_TXT, ASS_LOC_TXT",,6b727a38-f448-4b8e-81fb-a2570637ee57,Elc fix tag 2,0,False,
ELECTRICAL,LTG_DESIGN_ILLUMINANCE_LUX,NUMBER,(CST_FIX_LUMEN_OUTPUT_LM * LTG_CLR_RENDERING_INDEX_NR / 100 * 0.8) / ASS_ROOM_AREA_SQ_M,Design illuminance (lm × MF × UF / area),"CST_FIX_LUMEN_OUTPUT_LM, LTG_CLR_RENDERING_INDEX_NR, ASS_ROOM_AREA_SQ_M",lux,1b31f9e0-1966-565b-98cd-4d65906a44c7,Ltg Design Illuminance Lux [ISO 19650-1:2018],0,False,
ELECTRICAL,LTG_EMRG_TYPE_TXT,TEXT,"ASS_TAG_1_TXT + "" - "" + ASS_LOC_TXT",Tag concatenation: ASS_TAG_1_TXT + ASS_LOC_TXT,"ASS_TAG_1_TXT, ASS_LOC_TXT",,9c1aacc1-141d-5fa3-815f-65e638b2e55a,Ltg Emrg Type Txt [ISO 19650-1:2018],0,False,
ELECTRICAL,LTG_FIX_TAG_01_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_TAG_1_TXT",Tag concatenation: ASS_ID_TXT + ASS_TAG_1_TXT,"ASS_ID_TXT, ASS_TAG_1_TXT",,647a8916-560f-4c0c-b6ca-f2ee23a97fb0,Ltg Fix Tag,0,False,
ELECTRICAL,LTG_FIX_TAG_02_TXT,TEXT,"ASS_ID_TXT + ""-"" + ASS_LOC_TXT",Tag concatenation: ASS_ID_TXT + ASS_LOC_TXT,"ASS_ID_TXT, ASS_LOC_TXT",,7783ce57-766b-4903-8e9f-bde24b706b42,Ltg Fix Tag,0,False,
ELECTRICAL,LTG_POWER_DENSITY_W_M2,POWER_DENSITY,ELC_CKT_PWR_KW * 1000 / ASS_ROOM_AREA_SQ_M,Lighting power density,"ELC_CKT_PWR_KW, ASS_ROOM_AREA_SQ_M",W/m²,1debbca6-0b88-541d-b96e-59cd6126828b,Ltg Power Density W M2 [ISO 19650-1:2018],0,False,
